,Product Name,Brands,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,Price 1,Price 2,SKU
144,OnePlus Nord Buds 2r,OnePlus,0 Reviews,,,,38 Hours of playtime,,,,,,Bluetooth 5.3,"Triple Blue, Deep Grey",,,,"KSh 7,000",,SM-R510NLVAXAR-1-1-1
145,OnePlus 12 5G,OnePlus,,IN STOCK,"12GB, 16GB",,"5,400 mAh, 100W",,,"6.82 inch, LTPO AMOLED,120Hz",,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"Dual SIM, 3G, 4G, 5G","Black, Green, Silver","Android 14, HyperOS",,,"KSh 91,000","KSh 97,000",N/A
146,OnePlus Ace 3,OnePlus,0 Reviews,IN STOCK,"12GB, 16GB",,"5,500 mAh, 100W",,,"6.78 inch, LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision",,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Dual SIM, 3G, 4G, 5G","Star Black, Moon Sea Blue, and Rose Gold.","Android 14, ColorOS 14",,,"KSh 90,000","KSh 78,500",
147,OnePlus Ace 2 Pro,OnePlus,0 Reviews,IN STOCK,24 GB,,"5,000 mAh, 150W wired",,,"6.74 inches, AMOLED, 120Hz, HDR10+",,Snapdragon 8 Gen 2,"Dual SIM, 5G, Wi-Fi","Aurora Green, Titanium Gray","Android 13, ColorOS 13.1",,,"KSh 102,000","KSh 99,000",
148,OnePlus Open,OnePlus,0 Reviews,IN STOCK,16GB,,"4805mAh, 67W wired, PD, 1-100% in 42 min",,,Main Display: 7.82 inches; Cover Display: 6.31 inches,,"Octa-core, Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm) SoC",,,,,,"KSh 220,000","KSh 185,000",
149,OnePlus 12R,OnePlus,0 Reviews,IN STOCK,"12GB,16GB",,"5,500 mAh, 100W fast charger.",,,"6.78 inches, Fluid AMOLED, 120Hz, HDR10+",,"Octa-core, Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm)","Dual SIM, 5G, Wi-Fi",Iron Gray and Cool Blue,"Android 14, OxygenOS 14",,,"KSh 65,000","KSh 66,500",N/A
150,OnePlus Nord CE 3 Lite 5G,OnePlus,0 Reviews,IN STOCK,8GB,256GB,"5000 mAh, 33W",108MP + 2 MP + 2 MP,16 MP,"6.72 inches, IPS LCD, 120Hz",,Qualcomm Snapdragon 695 5G,"Dual sim, 5G, Wi-Fi","Pastel Lime, Chromatic Gray","Android 13, OxygenOS 13.1",,,"KSh 27,000","KSh 32,500",N/A
151,OnePlus Pad,OnePlus,0 Reviews,IN STOCK,8GB,128GB,"9510 mAh, 67W wired",13 MP,8 MP,11.61 inches,,Mediatek Dimensity 9000,Wi-Fi,Halo Green,"Android 13, OxygenOS 13.1",,,"KSh 75,000","KSh 65,000",
152,OnePlus Buds Z,OnePlus,0 Reviews,,,,,,,,,,,,,,,"KSh 8,500",,5481100053
153,OnePlus 30W Warp Charger,OnePlus,0 Reviews,IN STOCK,,,,,,,,,,,,,,"KSh 6,500","KSh 5,500",
154,OnePlus Buds,OnePlus,0 Reviews,IN STOCK,,,,,,,,,,,,,,"KSh 14,500","KSh 13,500",
155,Realme C67 4G,,0 Reviews,IN STOCK,"8GB, 256GB",,"5,000 mAh, non-removable",,,"6.72 inches, IPS LCD",,,4G,,,,,"KSh 28,000","KSh 26,000",
156,Realme C51,,0 Reviews,IN STOCK,4GB,,"5,000 mAh, 33W wired",,,"6.74 inches, IPS LCD, 90Hz",,Unisoc Tiger T612,"Dual SIM, 4G, Wi-Fi",Mint Green and Carbon Black,"Android 13, Realme UI T",,,"KSh 19,800","KSh 16,000",
157,Realme C53,,0 Reviews,IN STOCK,"6GB,8GB",,"5000 mAh, 33W wired,",,,"6.72 inches, IPS LCD, 90Hz",,Unisoc Tiger T612,"Dual sim, 4G, Wi-Fi","Champion Gold, Mighty Black","Android 13, Realme UI T",,,"KSh 24,000","KSh 21,000",
158,Realme 10,,0 Reviews,IN STOCK,8GB,,"5,000 mAh, 33W Wired fast charger",,,"6.4 inches, Super AMOLED, 90Hz",,MediaTek Helio G99,"Dual SIM, 4G, Wi-Fi",White and Blue,"Android 12, Realme UI 3.0",,,"KSh 35,000","KSh 33,500",
159,Realme C55,,0 Reviews,IN STOCK,"6GB, 8GB",,5000 mAh,,,"6.72 inches, IPS LCD, 90Hz",,Mediatek Helio G88,"Dual sim, 4G, Wi-Fi","Sun Shower, Rainy Night, Rainforest","Android 13, Realme UI 4.0",,,"KSh 29,500","KSh 28,500",N/A
160,Realme C30s,,,IN STOCK,"2GB, 3GB, 4GB",,"5,000 mAh",,,6.5 inch,,Unisoc Tiger T612 (12 nm),"Dual SIM, supporting up to 4G","Stripe Blue, Stripe Black",Android 11,,,"KSh 11,500","KSh 12,500",N/A
161,Realme Pad Wi-Fi Only,,0 Reviews,IN STOCK,3GB,32GB,"7100 mAh, 18W",8 MP,"8 MP, 105˚ (ultrawide)","10.4 inches, IPS LCD",,Mediatek MT6769V/CU Helio G80,"4G, Nano-SIM, Wi-Fi","Gray, Gold",Android 11,,,"KSh 22,000","KSh 20,800",RMP2102-1
162,Realme Pad,,0 Reviews,IN STOCK,"3GB, 4GB, 6GB","32GB, 64GB, 128GB","7100 mAh, 18W",8 MP,"8 MP, 105˚ (ultrawide)","10.4 inches, IPS LCD",,Mediatek MT6769V/CU Helio G80,"4G, Nano-SIM, Wi-Fi","Gray, Gold",Android 11,,,"KSh 26,000","KSh 22,000",RMP2102
163,Tecno Camon 30 Premier,Tecno,0 Reviews,IN STOCK,12GB,,"5,000mAh, 70W",,,"6.77-inches, AMOLED, 120 Hz",,MediaTek 8200 Ultimate,5G,,Android 14 with HiOS 14,,,"KSh 71,500","KSh 69,500",
164,Tecno Pova 6 Neo 4G,Tecno,0 Reviews,IN STOCK,8 GB,,"7,000mAh, 33W",,,"6.78-inches, IPS LCD",,,"4G, WI-FI, NFC","Starry Silver, Speed Black, Comet Green","Android 14, HIOS 14",,,"KSh 30,000","KSh 26,500",
165,Tecno Camon 30 5G,Tecno,0 Reviews,,8GB /12GB,,"5,000mAh, 70W",,,"6.78-inches, AMOLED, 120 Hz",,Mediatek Dimensity 7020 (6 nm),5G,,Android 14 with HiOS 14,,,"KSh 48,500","KSh 47,500",
166,Tecno Camon 30,Tecno,,IN STOCK,8GB/12GB,,"5,000mAh, 70W",,,"6.78-inches, AMOLED, 120 Hz",,Mediatek Helio G99 Ultimate,4G,,Android 14 with HiOS 14,,,"KSh 31,500","KSh 30,500",
167,Tecno Spark 20 Pro Plus,Tecno,0 Reviews,IN STOCK,8GB,,"Li-Po 5,000mAh, 44W",,,"6.82-inch, AMOLED, 120Hz",,Octa-core Mediatek Helio G99 (6nm),,,Android 13,,,"KSh 30,000","KSh 29,500",
168,Tecno Spark 20 Pro,Tecno,0 Reviews,IN STOCK,8GB,,"Li-Po 5,000 mAh, 33W",,,"6.78-inch, IPS LCD, 90Hz",,Octa-core Mediatek Helio G99 (6nm),,,Android 13,,,"KSh 24,500","KSh 23,500",
169,Tecno Spark 20,Tecno,0 Reviews,IN STOCK,8GB,,"Li-Po 5,000 mAh, 18W",,,"6.56-inch, IPS LCD, 90Hz",,Octa-core Mediatek MT6769Z Helio G85 (12nm),,,Android 13,,,"KSh 16,500","KSh 19,500",N/A
170,Tecno Spark 20C,Tecno,0 Reviews,IN STOCK,"3GB, 4GB",,"Li-Po 5000 mAh, 18W",,,"6-inch, IPS LCD, 90Hz",,Octa-core MediaTek,,,Android 13,,,"KSh 17,000","KSh 16,000",
171,Tecno Pop 8,Tecno,0 Reviews,IN STOCK,"3GB, 4GB",,"5,000 mAh",,,"6.6 inches, IPS LCD",,Octa-core Unisoc T606 (12 nm),"Dual SIM, 4G, Wi-Fi","Mystery White, Alpenglow Gold, Magic Skin, Gravity Black",Android 13 (Go edition),,,"KSh 12,500","KSh 11,800",N/A
172,Tecno Phantom V Flip,Tecno,0 Reviews,IN STOCK,8GB,256GB,"4,000mAh",64MP + 13MP,32MP Cover lens,,32 inches,Mediatek Dimensity 8050 (6 nm),"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Iconic Black, Mystic Dawn","Android 13, HIOS 13.5",,,"KSh 102,000","KSh 78,500",
173,Tecno Camon 20 Pro 5G,Tecno,0 Reviews,IN STOCK,8 GB,256GB,"5000 mAh, 33W wired",,,"6.67 inches, AMOLED, 120Hz",,Mediatek Dimensity 8050,"Dual Sim, 3G, 4G, 5G, Wi-Fi","Black, Blue","Android 13, HIOS 13",,,"KSh 30,500","KSh 27,500",
174,Tecno Camon 20 Premier 5G,Tecno,0 Reviews,IN STOCK,8 GB,512  GB,5000 mAh,108 MP + 50 MP + 2 MP,32 MP,"6.67 inches, AMOLED, 120Hz",,Mediatek Dimensity 8050 (6 nm),"Dual sim, 3G, 4G, 5G, Wi-Fi","Dark Welkin, Serenity Blue","Android 13, HIOS 13",,,"KSh 55,000","KSh 47,000",
175,Tecno Camon 20 Pro 4G,Tecno,,,8 GB,"128GB, 256GB","5000 mAh, 33W wired",,,"6.67 inches, AMOLED, 120Hz",,Mediatek Helio G99,"Dual Sim, 3G, 4G, Wi-Fi","Predawn Black, Serenity Blue, Doodle edition","Android 13, HIOS 13",,,"KSh 45,000","KSh 29,500",
176,Tecno Pop 7,Tecno,0 Reviews,IN STOCK,2GB,,5000 mAh,,,6.6 inches,,Mediatek MT6761 Helio A22,"Dual sim, 4G, Wi-Fi","Endless Black, Capri Blue","Android 12, HIOS 12",,,"KSh 14,500","KSh 12,000",
177,Tecno Phantom V Fold,Tecno,2 Reviews,IN STOCK,12GB,256GB /  512GB,"5,000 mAh",50MP + 50MP +13MP,"16MP, 32MP Cover lens","7.85 inches foldable display, 6.42 inches folded display",6.52 inches,Mediatek Dimensity 9000+ (4 nm),"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Black, White","Android 13, HiOS 13 Fold",,,"KSh 119,000","KSh 130,500",N/A
178,Tecno Phantom X2,Tecno,0 Reviews,IN STOCK,8GB,256GB,5160 mAh,64 MP + 13 MP + 2 MP,32 MP,"6.8 inches, AMOLED, 120Hz,",,MediaTek Dimensity 9000,"Dual sim, 4G, 5G, Wi-Fi","Stardust Gray, Moonlight Silver","Android 12, HIOS 12",,,"KSh 75,000","KSh 50,500",
179,Tecno Phantom X2 Pro 5G,Tecno,0 Reviews,IN STOCK,12GB,256GB,5160 mAh,50 MP + 50 MP + 13 MP,32 MP,"6.8 inches, AMOLED, 120Hz,",,MediaTek Dimensity 9000,"Dual sim, 4G, 5G, Wi-Fi","Stardust Gray, Mars Orange","Android 12, HIOS 12",,,"KSh 90,500","KSh 65,500",
180,Vivo Y28 4G,,0 Reviews,IN STOCK,"6GB, 8GB.","128GB, 256GB; expandable via microSD card (shared)","6,000 mAh, 44W charging",,,"6.68 inches, IPS LCD",,Mediatek Helio G85 (12 nm),"Dual SIM, 4G, Wi-Fi, Bluetooth, GPS","Agate Green, Gleaming Orange","Android 14, Funtouch 14",,,"KSh 22,500","KSh 24,800",N/A
181,Vivo Y18 4G,,0 Reviews,IN STOCK,4/6/8 GB,128GB/256GB,,50 MP + 0.08 MP,8 MP,"6.56 inches, IPS LCD, 840 nits (HBM)",,,"Dual SIM, 3G, 4G, Wi-Fi","Mocha Brown, Wave Aqua","Android 14, Funtouch 14",,,"KSh 20,000","KSh 18,500",N/A
182,Vivo Y03,,0 Reviews,IN STOCK,4GB,"64GB, 128GB","5,000mAh, 15W charging",,,"6.56 inches, IPS LCD",,Mediatek Helio G85 (12nm),"Dual SIM, 4G, Wi-Fi, Bluetooth, GPS","Space Black, Gem Green","Android 14, Funtouch 14",,,"KSh 13,700","KSh 15,500",N/A
183,Vivo V30 Lite,,0 Reviews,IN STOCK,16GB RAM (8GB + 8GB ),,5000 mAh – Type C 80W,,,"1 Billion Colors, 1300 nits",,685 Snapdragon® (6nm),,,,,,"KSh 35,500","KSh 33,500",
184,Vivo V30 5G,,0 Reviews,IN STOCK,"8GB, 12GB",,"5,000 mAh, non-removable",,,"6.78 inches, AMOLED",,,5G,,,,,"KSh 62,500","KSh 58,000",
185,Vivo Y27s,,0 Reviews,IN STOCK,8 GB,128GB/256GB,"5,000 mAh",50 MP + 2 MP,8 MP,"6.64 inches, IPS LCD, 600 nits (peak)",,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Dual SIM, 3G, 4G, Wi-Fi","Burgundy Black, Garden Green","Android 13, Funtouch 13.",,,"KSh 33,500","KSh 32,500",
186,Vivo V29,,,IN STOCK,12GB,256GB,"5,000 mAh",50 MP + 8 MP + 2MP,850MP,"6.78-inchAMOLED, 1B colors, 120Hz, HDR10+",,"Octa-core, Qualcomm SM7325 Snapdragon 778G 5G (6 nm)","Dual SIM, 3G, 4G, 5G, Wi-Fi","Space Black, Himalayan Blue, Purple Fairy, Majestic Red","Android 13, Funtouch 13.",,,"KSh 62,800","KSh 57,500",
187,Vivo V29e,,0 Reviews,IN STOCK,8 GB,256GB,"4,800 mAh",64MP + 8MP,50MP,"6.67-inch, AMOLED, 120Hz, 1150 nits (peak)",,"Octa-core, Qualcomm SM6375 Snapdragon 695 5G (6 nm)","Dual SIM, 3G, 4G, 5G, Wi-Fi","Forest Black, Rose Gold, Ice Creek Blue","Android 13, Funtouch 13.",,,"KSh 48,500","KSh 45,500",
188,Vivo Y17s,,0 Reviews,IN STOCK,6GB,128GB,"5,000 mAh",50 MP + 2 MP,8 MP,6.56 inches,,Octa-core Mediatek MT6769 Helio G85 (12nm),"Dual SIM, 3G, 4G, Wi-Fi","Glitter Purple, Forest Green","Android 13, Funtouch 13",,,"KSh 22,500","KSh 20,500",
189,Vivo Y02t,,0 Reviews,IN STOCK,4GB,64GB,"5,000 mAh",8MP,5MP,6.51 inches,,Octa-core Mediatek MT6765 Helio P35 (12nm),"Dual SIM, 3G, 4G, Wi-Fi","Orchid Blue, Cosmic Grey, Sunset Gold","Android 13, Funtouch 13",,,"KSh 18,000","KSh 17,200",
190,Vivo Y35,,0 Reviews,IN STOCK,8GB,128GB,5000 mAh,50 MP + 2 MP+ 2 MP,16 MP,6.58 inches,,Snapdragon 680 4G,"Dual SIM, 3G, 4G, Wi-Fi","Dawn Gold, Agate Black","Android 11, Funtouch 12",,,"KSh 29,999","KSh 26,500",
191,Xiaomi Smart Band 8 Pro,Xiaomi,0 Reviews,IN STOCK,,,"Up to 14 days battery life, convenient Magnetic Charging.",,,1.74-inch 2.5D curved AMOLED Screen.,,,Bluetooth 5.3,,,,,"KSh 12,000","KSh 10,500",
192,Xiaomi POCO F6,,0 Reviews,IN STOCK,"8GB, 12GB","256GB, 512GB","5000 mAh, 90W",50MP+8MP,20MP,"6.67 inches, AMOLED, 120Hz",,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Black, Green, Titanium",,,,"KSh 55,800","KSh 50,000",
193,Xiaomi Smart Band 9,Xiaomi,0 Reviews,IN STOCK,,,233mAh,,,"AMOLED,1.62 inches",,,Bluetooth 5.4,,,,,"KSh 8,500","KSh 7,500",
194,Xiaomi POCO X6 Pro,Xiaomi,0 Reviews,IN STOCK,"8GB, 12GB",,"5,000 mAh, 67W",,,"6.67 inch, AMOLED,120Hz",,Mediatek Dimensity 8300 Ultra (4 nm),"Dual SIM, 3G, 4G, 5G","Black, Yellow and Gray","Android 14, HyperOS",,,"KSh 57,500","KSh 57,000",
195,Xiaomi Redmi 13 4G,Xiaomi,0 Reviews,IN STOCK,"6GB, 8GB","128GB, 256GB","5,030 mAh",108 MP + 2MP,"13 MP, f/2.5, (wide)","6.79 inches, IPS LCD",,Mediatek Helio G91 Ultra (12 nm),"Dual SIM, 3G, 4G, VoLTE, Wi-Fi","Midnight Black, Sandy Gold, Ocean Blue, Pink","Android 14, HyperOS",,,"KSh 19,000","KSh 18,500",N/A
196,Xiaomi Redmi A3x,Xiaomi,0 Reviews,IN STOCK,"3GB, 4GB",,"5000mAh, 10W charging",,,"6.71 inches, IPS LCD, 500 nits brightness",,Unisoc T603 (22 NM),"Dual SIM, 4G, Wi-Fi, Bluetooth, GPS","Midnight Black, Moonlight White, Aurora Green",Android 14 (MIUI),,,"KSh 12,000","KSh 11,500",N/A
197,Redmi Watch 3 Active,Xiaomi,0 Reviews,IN STOCK,,,289mAh,,,1.83-inch LCD,,,Bluetooth v5.3,,,,,"KSh 8,500","KSh 7,000",
198,Xiaomi Smart Band 8,Xiaomi,,IN STOCK,,,"190mAh, 14-16 days",,,1.62-inch AMOLED,,,V5.1,,,,,"KSh 6,500",,
199,Redmi Note 13 Pro Plus,Xiaomi,0 Reviews,IN STOCK,"8GB, 12GB, 16GB",,"5,000mAh, 120W Fast Charger.",,,,,"Octa-Core, Mediatek Dimensity 7200 Ultra (4 nm)",,,,,,"KSh 55,000","KSh 54,500",
200,Xiaomi Redmi A3,Xiaomi,0 Reviews,IN STOCK,"3GB, 4GB, 6GB",,"5000mAh, 10W charging",,,"6.71 inches, HD+ resolution, 400 nits brightness",,MediaTek Helio G36 (12 nm),"Dual SIM, 4G, Wi-Fi, Bluetooth, GPS","Midnight Black, Olive Green, Lake Blue",Android 13 (Go Edition),,,"KSh 11,500","KSh 13,000",N/A
201,Redmi Note 13 4G,Xiaomi,0 Reviews,IN STOCK,"6GB, 8GB","128GB, 256GB","5000 mAh, 33W",108MP + 8MP + 2MP,16 MP,"6.67 inches, AMOLED, 120Hz",,Qualcomm SM6225 Snapdragon 685,"Dual SIM, 3G, 4G, Wi-Fi","Midnight Black, Mint Green, Ice Blue, Ocean Sunset","Android 13, MIUI 14",,,"KSh 23,500","KSh 21,500",N/A
202,Xiaomi TV Box S (2nd Gen),Xiaomi,0 Reviews,IN STOCK,,,,,,,,,"Bluetooth 5.2, Dual-band Wi-Fi",,,,,"KSh 10,000",,
203,Redmi 12,Xiaomi,,IN STOCK,"4GB, 8GB","128GB, 256GB","5,000 mAh, 18W",50 MP + 8 MP+ 2 MP,5MP,"6.71 inch, IPS LCD, 90Hz",,Mediatek Helio G88,"Dual sim, 3G, 4G, VoLTE, Wi-Fi","Midnight Black, Sky Blue, Polar Silver, Moonstone Silver","Android 13, MIUI 14",,,"KSh 17,500","KSh 20,500",N/A
204,Redmi Note 13 Pro 4G,Xiaomi,0 Reviews,IN STOCK,"8GB, 12GB","128GB, 256GB, 512GB","5000 mAh, 67W",200MP + 8MP + 2MP,16 MP,"6.67 inches, OLED, 68B colours, 120Hz, Dolby Vision, 1300 nits (peak)",,Helio G99 Ultra,"Dual SIM, 3G, 4G, Wi-Fi","Midnight Black, Lavender Purple, Forest Green","Android 13, MIUI 14",,,"KSh 56,500","KSh 41,500",N/A
205,Xiaomi Poco M6 Pro 5G,Xiaomi,0 Reviews,IN STOCK,"4GB, 6GB, 8GB","64GB, 128 GB","5,000 mAh, 18W",50MP + 2MP,8MP,"IPS LCD, 90Hz, 550 nits",,"Octa-core, Qualcomm Snapdragon 4 Gen 2 (4 nm)","3G, 4G, 5G, Bluetooth 5.3, Wi-Fi","Power Black, Forest Green","Android 13, MIUI 14",,,"KSh 39,500","KSh 36,000",
206,Redmi 13C,Xiaomi,0 Reviews,IN STOCK,"4GB, 6GB, 8GB","256GB, 128GB","5,000 mAh",50 MP + 0.08 MP,5MP,6.71 inch,,Mediatek Helio G85,"Dual sim, 3G, 4G, VoLTE, Wi-Fi","Black, Blue, Mint, Violet","Android 13, MIUI 13",,,"KSh 16,000","KSh 14,000",N/A
207,Redmi Note 13 Pro 5G,Xiaomi,0 Reviews,IN STOCK,12,512GB,"5,100 mAh, 67W",200 MP + 8 MP + 2 MP,16 MP,"6.67 inches, OLED, 120Hz, HDR10",,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),"Dual SIM, 4G, 5G, VoLTE, Wi-Fi","Midnight Black, Aurora Purple (Coral Purple), Ocean Teal, Arctic White","Android 13, upgradable to Android 14, HyperOS",,,"KSh 39,000","KSh 44,500",N/A
208,Xiaomi Mi Band 7,Xiaomi,0 Reviews,IN STOCK,,,180mAh,,,1.62-inch AMOLED,,,Bluetooth 5.2,"White, Black, Blue, Pink, Green, and Orange",,,,"KSh 10,500","KSh 7,000",
