,Product Name,Brands,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,Price 1,Price 2,SKU
0,Samsung Galaxy Z Flip 6,Samsung,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4000mAh, 25W",50 MP + 12 MP,10 MP,"6.7 inch, AMOLED, 120Hz","3.9 inch, AMOLED",Qualcomm Snapdragon 8 Gen 3,"Dual SIM, 3G, 4G, 5G, VoLTE, Wi-Fi","Yellow, Silver Shadow, Mint, Blue, Black, White, Peach","Android 14, One UI 6.1.1",Warranty,UAE / Dubai,"KSh 108,000","KSh 103,000",N/A
1,Samsung Galaxy Z Fold 6,Samsung,0 Reviews,IN STOCK,12GB,"256GB, 512GB, 1TB","4,4000mAh",50MP + 10MP + 12MP,4MP,7.6 inches Super AMOLED display (unfolded); 6.3-inches when folded,,Qualcomm SM8550-AC Snapdragon 8 Gen 3 (4 nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Navy, Silver Shadow, Pink, Black, White",,Warranty,UAE / Dubai,"KSh 162,500","KSh 205,000",N/A
2,Samsung Galaxy M55,Samsung,0 Reviews,IN STOCK,8GB,,"5000 mAh, non-removable, 45W",,,,,,5G,,"Android 14, One UI 6.1",,,"KSh 55,000","KSh 45,000",
3,Samsung Galaxy A35 5G,Samsung,,IN STOCK,8GB,256GB,"5,000 mAh",50MP + 8MP + 5MP,13MP,"6.6 inches, 120 Hz",,Exynos 1380 SoC,"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Iceblue, Lilac, Navy","Android 14, One UI 6.1,",Warranty,East Africa,"KSh 32,000","KSh 40,500",SM-A356ELBMAFB
4,Samsung Galaxy A55 5G,Samsung,0 Reviews,IN STOCK,8GB,"128 GB, 256GB","5,000 mAh",50 MP + 12MP + 5 MP,32MP,"6 inches, 120 Hz",,Exynos 1480 SoC,"Dual SIM, 2G, 3G, 4G, Wi-Fi","Iceblue, Lilac, Navy, Lemon","Android 14, One UI 6.1,",Warranty,East Africa,"KSh 42,000","KSh 46,500",SM-A556ELBVAFB
5,Samsung Galaxy A25 5G,Samsung,0 Reviews,IN STOCK,8GB,256GB,"5,000 mAh, 25W",50MP + 8MP + 2MP,13 MP,6.5 inch,,Octa-core Exynos 1280 (5 nm),"Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Brave Black, Personality Yellow, Fantasy Blue, Optimistic Blue","Android 14, One UI 6",,,"KSh 27,500","KSh 30,500",SM-A256EZKHAFC
6,Samsung Galaxy M15 4G,Samsung,0 Reviews,IN STOCK,6,,"6,000mAh, 25W",,,6.5-inch Super AMOLED,,MediaTek Helio G99 SoC,4G,,,,,"KSh 26,000","KSh 25,000",
7,Samsung Galaxy F15 5G,Samsung,0 Reviews,IN STOCK,4/6GB,,"6000mAh, 25W",,,"6 inches, Super AMOLED",,"Octa-core, Mediatek Dimensity 6100+ (6 nm)",5G,,"Android 14, One UI 6",,,"KSh 26,500","KSh 23,500",
8,Samsung Galaxy S24 5G,Samsung,0 Reviews,IN STOCK,8GB,128GB / 256GB / 512GB/1TB,"4,000 mAh",50MP + 10MP + 12MP,12 MP (wide),"6.2 inch + Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",,Qualcomm Snapdragon 8 Gen 3 (4nm),"Dual SIM, 3G, 4G, 5G, Wi-Fi","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",Warranty,UAE / Dubai,"KSh 95,500","KSh 87,000",SM-S921
9,Samsung Galaxy S24 Plus,Samsung,0 Reviews,IN STOCK,12GB,256 / 512GB,4900mAh,50 MP + 10 MP + 12 MP,12 MP,"6.7 inch, AMOLED, 120Hz",,Snapdragon 8 Gen 3 / Exynos 2400,"Dual sim, 2G, 3G, 4G, 5G","Onyx Black, Marble Grey, Cobalt Violet, Amber Yellow, Jade Green, Sandstone Orange, Sapphire Blue","Android 14, One UI 6.1",,East Africa,"KSh 107,000","KSh 102,000",SM-S926
10,Samsung Galaxy S24 Ultra,Samsung,2 Reviews,IN STOCK,12GB,"256GB, 512GB, 1TB",5000 mAh,200MP + 50MP + 10MP + 10MP,12 MP,6.8 inch + 120Hz AMOLED display,,Qualcomm Snapdragon 8 Gen 3,"Dual SIM, 3G, 4G, 5G, Wi-Fi","Titanium Black, Titanium Gray, Titanium Violet, Titanium Yellow, Titanium Blue, Titanium Green, Titanium Orange","Android 14, One UI 6.1",Warranty,UAE / Dubai,"KSh 128,000","KSh 120,000",SM-S928UZKEXAA
11,Samsung Galaxy A25 4G,Samsung,0 Reviews,,"6GB, 8GB",128GB,"5,000 mAh, 25W",50MP + 5MP + 2MP,13 MP,6.5 inches,,Mediatek Helio G99 (6nm),"Dual SIM, 2G, 3G, 4G, Wi-Fi","Black, Lime Green, Blue gradient, Dark red","Android 13, upgradable to Android 14, One UI 6",,,"KSh 37,500",,
12,Samsung Galaxy A15 4G,Samsung,2 Reviews,IN STOCK,"4GB, 6GB","64GB, 128GB","5,000 mAh",50MP + 5MP + 2MP,13 MP,6.4 inch,,Mediatek Helio G99 (6nm),"Dual SIM, 2G, 3G, 4G, Wi-Fi","Black, Personality Yellow, Fantasy Blue, Optimistic Blue",Android 14,,,"KSh 18,500","KSh 24,000",N/A
13,Samsung Galaxy A54 5G,Samsung,0 Reviews,IN STOCK,8GB,256GB,"5,000 mAh",50 MP + 12MP + 5 MP,32MP,"6.46 inches, 120 Hz",,Exynos 1380,"Dual sim, 2G, 3G, 4G, Wi-Fi","Lime, Graphite, Violet, White","Android 13, One UI 5.1",,,"KSh 47,000","KSh 46,500",
14,Samsung Galaxy A24,Samsung,0 Reviews,IN STOCK,"6GB,",128GB,"5000 mAh, 25W wired",50 MP + 5 MP + 2 MP,13 MP,"6.5 inches, AMOLED, 90Hz",,Mediatek Helio G99,"Dual sim, 3G, 4G, Wi-Fi","Black, Lime Green, Blue gradient, Dark Red","Android 13, One UI 5.1",,,"KSh 27,500","KSh 27,000",
15,Samsung Galaxy A34 5G,Samsung,2 Reviews,IN STOCK,6GB,128GB,"5,000 mAh with 25W charging",48 MP + 8 MP + 5 MP,13 MP,"6.6 inch, AMOLED, 120Hz",,MediaTek Dimensity 1080,"Dual sim, 3G, 4G, 5G","Lime, Graphite, Violet, Silver","Android 13, One UI 5.1",Warranty,UAE / Dubai,"KSh 32,000","KSh 36,000",N/A
16,Samsung Galaxy S23 FE 5G,Samsung,3 Reviews,IN STOCK,8GB,256GB,"4,500 mAh",50MP + 8MP + 12MP,12 MP,"6.4 inch, 120Hz AMOLED",,"Exynos 2200 International, Snapdragon 8 Gen 1 – USA","Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Mint, Cream, Graphite, Purple, Indigo and Tangerine","Android 13, One UI 5.1",Warranty,UAE / Dubai,"KSh 68,000","KSh 63,000",N/A
17,Samsung Galaxy A05,Samsung,0 Reviews,IN STOCK,4GB,64/128GB,"5,000 mAh",50 MP + 2 MP,8 MP,"6.7 inch, LCD, 90Hz",,Snapdragon 680 4G,"Dual SIM, 2G, 3G, 4G","Black, Silver, Light Green",Android 13,,,"KSh 13,200","KSh 14,500",N/A
18,Samsung Galaxy A05s,Samsung,3 Reviews,IN STOCK,4GB,128GB,5000 mAh,50 MP + 2 MP+ 2 MP,13 MP,"6.7 inch, LCD, 90Hz",,Snapdragon 680 4G,"Dual sim, 2G, 3G, 4G","Black, Silver, Light Green, Violet",Android 13,Warranty,East Africa,"KSh 14,500","KSh 16,000",SM-A057FLVDAFC
19,Samsung Galaxy Z Flip 5,Samsung,0 Reviews,IN STOCK,8 GB,"256GB, 512GB","3700 mAh, 25W",12 MP + 12 MP,10 MP,"6.7 inch, AMOLED, 120Hz","3.4 inch, AMOLED",Qualcomm Snapdragon 8 Gen 2,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Icy Blue, Phantom Black, Cream, Gray, Blue","Android 13, One UI 5.1.1",Warranty,UAE / Dubai,"KSh 79,500","KSh 88,500",N/A
20,Samsung Galaxy Z Fold 5,Samsung,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4,400 mAh",,,"7.6 inch, AMOLED, 120Hz","6.2 inch, AMOLED, 120Hz",Qualcomm Snapdragon 8 Gen 2,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Phantom Black, Cream, Icy Blue","Android 13, One UI 5.1.1",Warranty,UAE / Dubai,"KSh 140,000","KSh 145,000",N/A
21,Samsung Galaxy F34 5G,Samsung,0 Reviews,IN STOCK,"6GB,",,"6,000 mAh",,,"6.5-inch, Super AMOLED, 120Hz, 1000 nits (peak)",,Exynos 1280 (5 nm),"Dual SIM, 5G, Wi-Fi","Electric Black, Mystic Green","Android 13, One UI 5.1",,,"KSh 29,000","KSh 26,000",
22,Samsung Galaxy F14,Samsung,0 Reviews,IN STOCK,6GB,128GB,"6,000mAh 25w fast charging",5oMP + 2MP,13MP,6 inches,,Exynos 1330 (5nm),"Dual SIM, up to 5G Connectivity","Black, Green and Purple","Android 13, One UI Core 5.1",,,"KSh 35,000","KSh 18,500",
23,Samsung Galaxy M14 5G,Samsung,0 Reviews,IN STOCK,6GB,128GB,"6,000 mAh",50MP + 2MP + 2MP,13 MP,6.6 inch,,"Octa-core, Exynos 1330 (5nm)","Dual SIM, 2G, 3G, 4G, 5G, Wi-Fi","Navy Blue, Light Blue, Silver","Android 13, One UI 5.1",,,"KSh 17,000","KSh 22,000",N/A
24,Samsung Galaxy M34 5G,Samsung,0 Reviews,IN STOCK,"6GB,",,"6,000 mAh",,,"6.5-inch, Super AMOLED, 120Hz, 1000 nits (peak)",,Exynos 1280 (5 nm),"Dual SIM, 5G, Wi-Fi","Midnight Blue, Prism Silver, Waterfall Blue","Android 13, One UI 5.1",,,"KSh 40,000","KSh 24,500",
25,Samsung Galaxy M54 5G,Samsung,0 Reviews,IN STOCK,8 GB,256GB,"5,000 mAh",108MP+8MP+2MP,32 MP,"6.7 inches, AMOLED Plus, 120Hz",,Exynos 1380,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Dark Blue, Silver","Android 13, One UI 5.1",,,"KSh 46,000","KSh 42,000",
26,Samsung Galaxy F04,Samsung,0 Reviews,IN STOCK,4GB,64GB,5000 mAh,13 MP + 2 MP,5 MP,6.5 inch,,MediaTek Helio P35,"Dual sim, 2G, 3G","Black, Copper, Light Blue","Android 12, One UI Core 4.1",,,"KSh 17,500","KSh 14,500",
27,Samsung Galaxy S23 Ultra 5G,Samsung,0 Reviews,IN STOCK,12GB,256GB/512GB,"5,000 mAh",200MP + 12MP + 10MP + 10MP,12 MP,6.8 inch + 120Hz AMOLED display,,Snapdragon 8 Gen2,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Phantom Black, Cream, Green, Lavender","Android 13, One UI 5.1",Warranty,UAE / Dubai,"KSh 98,000","KSh 112,000",N/A
28,Samsung Galaxy S23 Plus 5G,Samsung,0 Reviews,IN STOCK,8GB,256GB,4700 mAh,50 MP + 12 MP + 10 MP,12MP,6.6 inch,,Snapdragon 8 Gen2,"Dual sim, 2G, 3G, 4G, 5G","Phantom Black, Cream, Green, Lavender","Android 13, One UI 5.1",Warranty,UAE / Dubai,"KSh 118,000","KSh 150,000",N/A
29,Samsung Galaxy S23 5G,Samsung,0 Reviews,IN STOCK,8GB,256GB,3900 mAh,50MP + 12MP + 10MP,12 MP,6.1 inch + 120Hz AMOLED display,,Snapdragon 8 Gen2,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Phantom Black, Cream, Green, Lavender","Android 13, One UI 5.1",,,"KSh 85,000","KSh 83,000",N/A
30,Samsung Galaxy A04e,Samsung,0 Reviews,IN STOCK,3GB,32/ 64GB,5000 mAh,13 MP + 2 MP,5 MP,6.5 inch,,MediaTek Helio G35,"Dual sim, 2G, 3G","Black, Copper, Light Blue","Android 12, One UI Core 4.1",,,"KSh 13,000","KSh 12,000",
31,Samsung Galaxy M04,Samsung,0 Reviews,IN STOCK,4GB,64GB,5000 mAh,13MP + 2 MP,5 MP,6.5 inch,,Mediatek Helio P35 (12nm),"Dual sim, 2G, 3G, 4G","Sea Glass Green, Shadow Blue","Android 12, One UI Core 4.1",,,"KSh 16,000","KSh 15,500",
32,Samsung Galaxy F13,Samsung,0 Reviews,IN STOCK,4GB,"64GB, 128GB","6,000mAh",50MP + 5MP + 2MP,8 MP,6.6 inches,,Exynos 850 (8nm),"Dual SIM, Up to 4G Connectivity","Waterfall Blue, Sunrise Copper, and Nightsky Green","Android 12, One UI Core 4.1",,,"KSh 16,500","KSh 20,500",N/A
33,Samsung Galaxy Z Fold 4,Samsung,0 Reviews,IN STOCK,12 GB,"256GB, 512GB","4,400 mAh",,,7.6 inch,6.2 inch,Qualcomm Snapdragon 8+ Gen 1,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Stalwart Phantom Black, Beige, Gray-green","Android 12L, One UI 4.1.1",,,"KSh 190,000","KSh 140,500",
34,Samsung Galaxy M13 4G,Samsung,,IN STOCK,6GB,128GB,5000 mAh,50MP + 5MP + 2MP,8 MP,6.6 inch,,Exynos 850 (8nm),"Dual sim, 2G, 3G, 4G, Wi-Fi","Deep Green, Orange Copper, Light Blue",Android 12,,,"KSh 27,500","KSh 26,000",
35,Samsung Galaxy F23,Samsung,0 Reviews,IN STOCK,6GB,128 GB,"5000 mAh, 25W",,,"6.6 inches, IPS LCD, 120Hz",,Qualcomm Snapdragon 750G 5G (8 nm),"Dual sim, 5G, Wi-Fi","Aqua Blue, Forest Green","Android 12, One UI 4.1",,,"KSh 36,000","KSh 30,500",SM-E236B
36,Samsung Galaxy S22 5G,Samsung,0 Reviews,IN STOCK,8GB,256GB,"3,700 mAh",50 MP + 12 MP + 10 MP,10 MP,6.1 inch,,Qualcomm Snapdragon 8 Gen 1,"Dual sim, 2G, 3G, 4G, 5G","Phantom Black, Phantom White, Green, Pink Gold",Android 12,Warranty,UAE / Dubai,"KSh 66,000","KSh 75,000",SM-S901B/DS
37,Samsung Galaxy S22 Ultra 5G,Samsung,0 Reviews,IN STOCK,12GB,"256GB, 512GB",5000 mAh,108MP + 12MP + 10MP + 10MP,40 MP,6.8 inch + 120Hz AMOLED display,,Qualcomm Snapdragon 8 Gen 1,"Dual sim, 2G, 3G, 4G, 5G, Wi-Fi","Phantom Black, Phantom White, Green, Burgundy",Android 12,Warranty,UAE / Dubai,"KSh 105,000","KSh 112,000",SM-S908EZKGAFA
38,Samsung Galaxy A03 Core,Samsung,2 Reviews,IN STOCK,2GB,32GB,5000 mAh,8 MP,5 MP,6.5 inch,,Unisoc SC9863A (28nm),"Dual sim, 2G, 3G, 4G","Black, Blue",Android 11 (Go edition),,,"KSh 16,500","KSh 12,800",SM-A032F/DS
39,Samsung Galaxy S21 FE 5G,Samsung,0 Reviews,IN STOCK,8GB,256GB,4500 mAh,12 MP + 12 MP + 8 MP,32 MP,6.41 inch,,Exynos 2100,"Dual sim, 3G, 4G, 5G, VoLTE, Wi-Fi","White, Lavender, Graphite, Olive",Android 12,,,"KSh 65,000","KSh 59,000",
40,Apple iPhone 16,Apple,0 Reviews,,8GB,,"3,561mAh",,,6.1 inches,,Apple A18 Bionic,"5G, Nano-SIM, Esim, Wi-Fi 7","Black, White, Pink, Teal, Ultramarine",iOS 18,Warranty,UAE / Dubai,"KSh 127,500","KSh 207,000",N/A
41,iPhone 16 Pro Max,Apple,0 Reviews,,8GB,"256/512GB, 1TB","29 hours of video playback, 95 hours of audio playback",,,6.9 inches,,Apple A18 Pro Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 7","Black Titanium, White Titanium, Natural Titanium, Desert Titanium",iOS 18 Pro,Warranty,UAE / Dubai,"KSh 230,000","KSh 207,000",N/A
42,Apple iPhone 16 Pro,Apple,0 Reviews,,8GB,,"3,577mAh",,,6.3 inches,,,"5G, Nano-SIM, eSIM, Wi-Fi 7","Black Titanium, White Titanium, Natural Titanium, Desert Titanium",iOS 18,Warranty,UAE / Dubai,"KSh 127,500","KSh 207,000",N/A
43,Apple iPhone 16 Plus,Apple,0 Reviews,,,,"4,006mAh",,,6.3 inches,,Apple A18 (3 nm),"5G, Nano-SIM, eSIM, Wi-Fi 7","Black, White, Pink, Teal, Ultramarine",iOS 18,Warranty,UAE / Dubai,"KSh 127,500","KSh 207,000",N/A
44,Apple iPhone 15,Apple,0 Reviews,IN STOCK,6GB,,"3,200 mAh",,,6.1 inches,,Apple A16 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 6","Black, Blue, Green, Yellow, Pink",iOS 17,Warranty,UAE / Dubai,"KSh 100,000","KSh 146,500",N/A
45,Apple iPhone 15 Plus,Apple,0 Reviews,IN STOCK,6GB,,"4,383 mAh",,,6.7 inches,,Apple A16 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Black, Blue, Green, Yellow, Pink",iOS 17,Warranty,UAE / Dubai,"KSh 113,000","KSh 193,000",N/A
46,Apple iPhone 15 Pro,Apple,0 Reviews,IN STOCK,8GB,,4323 mAh,,,"6.1 inches, OLED, 120Hz",,Apple A17 Pro,"5G, Nano-SIM, eSIM, Wi-Fi","Black Titanium, White Titanium, Blue Titanium, Natural Titanium",iOS 17,Warranty,UAE / Dubai,"KSh 131,000","KSh 205,000",N/A
47,Apple iPhone 15 Pro Max,Apple,0 Reviews,IN STOCK,8GB,,4323 mAh,,,"6.7 inches, OLED, 120Hz",,Apple A17 Pro,"5G, Nano-SIM, eSIM, Wi-Fi","Black Titanium, White Titanium, Blue Titanium, Natural Titanium",iOS 17,Warranty,UAE / Dubai,"KSh 157,000","KSh 225,000",N/A
48,Apple iPhone 14 Pro Max,Apple,0 Reviews,IN STOCK,6GB,,4323 mAh,,,6.7 inches,,Apple A16 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Space Black, Silver, Gold, Deep Purple",iOS 16,,,"KSh 122,000","KSh 119,000",
49,Apple iPhone 14 Pro,Apple,0 Reviews,IN STOCK,6GB,,3200 mAh,,,6.1 inches,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 6","Space Black, Silver, Gold, Deep Purple",iOS 16,Warranty,UAE / Dubai,"KSh 104,000","KSh 139,000",N/A
50,Apple iPhone 14,Apple,0 Reviews,IN STOCK,6GB,,3279 mAh,,,6.1 inches,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 6","Blue, Purple, Midnight, Starlight, RED",iOS 16,Warranty,UAE / Dubai,"KSh 94,000","KSh 109,000",N/A
51,Apple iPhone 14 Plus,Apple,0 Reviews,IN STOCK,6GB,,4325 mAh,,,6.7 inches,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Blue, Purple, Midnight, Starlight, RED",iOS 16,Warranty,UAE / Dubai,"KSh 107,000","KSh 111,000",N/A
52,Apple iPhone SE 2022,Apple,0 Reviews,IN STOCK,4GB,,2018 mAh,,,4.7 inch,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 6","Black, White, Red",iOS 15.4,Warranty,UAE / Dubai,"KSh 67,500","KSh 63,000",N/A
53,Apple iPhone 13 Pro Max,Apple,,IN STOCK,6GB,,4373 mAh,,,6.7 inches,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Graphite, Gold, Silver, Sierra Blue, Alpine Green",iOS 15,,,"KSh 105,000","KSh 92,000",A2643
54,Apple iPhone 13 Pro,Apple,0 Reviews,IN STOCK,6GB,,3095 mAh,,,6.1 inches,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 6","Graphite, Gold, Silver, Sierra Blue, Alpine Green",iOS 15,,,"KSh 90,000","KSh 77,000",A2638
55,Apple iPhone 13 Mini,Apple,0 Reviews,IN STOCK,4GB,,2227 mAh,,,5.4 inch,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 6","Starlight, Midnight, Blue, Pink, Red",upgradable to iOS 15.4.1,,,"KSh 115,000","KSh 110,000",A2628
56,Apple iPhone 13,Apple,0 Reviews,IN STOCK,4GB,,2815 mAh,,,6.1 inches,,Apple A15 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi 6","Pink, Blue, Midnight, Starlight, and Product Red",upgradable to iOS 15.4.1,Warranty,UAE / Dubai,"KSh 63,000","KSh 98,000",A2633
57,Apple iPhone 12,Apple,0 Reviews,IN STOCK,4GB,,2815 mAh,,,6.1 inches,,Apple A14 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Black, Green, Yellow, Purple, Red, White",upgradable to iOS 15.4.1,Warranty,UAE / Dubai,"KSh 50,000","KSh 69,000",A2403
58,Apple iPhone 12 Mini,Apple,0 Reviews,,4GB,,2227 mAh,,,5.4 inch,,Apple A14 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Black, Blue, (PRODUCT) Red, Grey, White",upgradable to iOS 15.4.1,,,"KSh 78,000","KSh 82,500",A2399
59,Apple iPhone 12 Pro,Apple,0 Reviews,IN STOCK,6GB,,2815 mAh,,,6.1 inches,,Apple A14 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Silver, Graphite, Gold, Pacific Blue",upgradable to iOS 15.4.1,Warranty,,"KSh 69,000","KSh 65,000",A2407
60,Apple iPhone 12 Pro Max,Apple,,IN STOCK,6GB,,3687 mAh,,,6.7 inches,,Apple A14 Bionic,"5G, Nano-SIM, eSIM, Wi-Fi","Silver, Graphite, Gold, Pacific Blue",upgradable to iOS 15.4.1,,,"KSh 74,000","KSh 71,000",A2411
61,Apple iPhone 11,Apple,0 Reviews,IN STOCK,4GB,,3110 mAh,,,6.1 inches,,Apple A13 Bionic (7 nm+),"4G, Nano-SIM, eSIM, Wi-Fi","Black, Green, Yellow, Purple, Red, White",upgradable to iOS 15.4.1,Warranty,UAE / Dubai,"KSh 40,000","KSh 59,000",A2221
62,Apple iPhone 11 Pro Max,Apple,,IN STOCK,4GB,,3969 mAh,,,6.5 inches,,Apple A13 Bionic (7 nm+),"sim, 3G, 4G, VoLTE, Wi-Fi","Space Gray, Silver, Gold, Midnight Green",upgradable to iOS 15.4.1,,,"KSh 60,000","KSh 53,000",A2218
63,Apple iPhone 11 Pro,Apple,0 Reviews,IN STOCK,4GB,,3046 mAh,,,5.8 inches,,Apple A13 Bionic (7 nm+),"4G, Nano-SIM, eSIM","Space Gray, Silver, Gold, Midnight Green",upgradable to iOS 15.4.1,,,"KSh 57,000","KSh 52,000",A2215
64,Apple iPhone XS Max,Apple,0 Reviews,IN STOCK,4GB,,3174 mAh,,,6.5 inch,,A12 Bionic chip,"nano-SIM + eSIM setup, 4G, Wi-Fi","Silver, space gray, and gold.",upgradable to iOS 15.4.1,Warranty,,"KSh 45,000","KSh 40,500",A2101
65,Apple iPhone XS,Apple,,IN STOCK,4GB,,2658 mAh,,,5.8 inch,,A12 Bionic,"4G, Nano-SIM, eSIM","Space Gray, Silver, Gold",upgradable to iOS 15.4.1,Warranty,,"KSh 41,000","KSh 39,000",A2097
66,Apple iPhone XR,Apple,0 Reviews,IN STOCK,3GB,,2942 mAh,,,6.1 inch,,A12 Bionic chip,"nano-SIM + eSIM, 4G, Wi-Fi","Black, white, blue, coral, yellow, and (PRODUCT)RED.",upgradable to iOS 15.4.1,Warranty,,"KSh 45,000","KSh 38,500",A2105
67,Apple iPhone X,Apple,0 Reviews,IN STOCK,3GB,,2716 mAh,,,5.8 inches,,Apple A11 Bionic (10 nm),,"Space Gray, Silver","iOS 11.1.1, up-gradable to iOS 13.5",,,"KSh 32,000","KSh 31,000",A1865
68,Apple iPhone 8 Plus,Apple,0 Reviews,IN STOCK,3GB,,2691 mAh,,,,,A11 Bionic,,,upgradable to iOS 15.4.1,,,"KSh 49,000","KSh 35,000",A1864
69,Apple iPhone 8,Apple,0 Reviews,IN STOCK,2GB,,1821 mAh,,,,,A11 Bionic,,,upgradable to iOS 15.4.1,,,"KSh 27,500",,A1863
70,Infinix Hot 40i,Infinix,,IN STOCK,"4GB, 8GB",,"5,000 mAh, 18W Fast charging",,,"6.6 inches, IPS LCD, 90Hz",,"Octa-core, Unisoc T606 (12 nm)","4G, Dual SIM","Starlit Black, Palm Blue, Horizon Gold, Starfall Green","Android 13, XOS 13",,,"KSh 12,700","KSh 16,800",N/A
71,Infinix Smart 8,Infinix,,IN STOCK,,,"Li-Po 5000 mAh, non-removable",,,6 IPS LCD screen,,,,,Android 13,,,"KSh 11,500","KSh 13,500",N/A
72,Infinix XDM52 USB-A to Micro Cable,Infinix,0 Reviews,IN STOCK,,,,,,,,,,,,,,KSh 250,KSh 100,
73,Infinix XDL53A USB-A Cable,Infinix,0 Reviews,IN STOCK,,,,,,,,,,,,,,KSh 600,,
74,Infinix Watch 1,Infinix,0 Reviews,IN STOCK,,,T days typical use,,,1.83 inches,,,Bluetooth,,,,,"KSh 3,500","KSh 3,000",
75,Infinix Buds Neo XE-26,Infinix,0 Reviews,IN STOCK,,,40mAh-buds; 500mAh-case,,,,,,,,,,,"KSh 2,500","KSh 2,300",
76,Infinix Buds Lite XE-23,Infinix,0 Reviews,IN STOCK,,,46mAh-buds; 460mAh-case,,,,,,,,,,,"KSh 2,000","KSh 1,800",
77,Infinix INBOOK X2 Gen11,Infinix,0 Reviews,IN STOCK,,,"50Wh, 9 hours regular working",,,"14-inch, IPS",,"X2-i3, i5, i7","Wi-Fi, Bluetooth, USB","Grey, Blue, Green, Red",Windows 11 Home,,,"KSh 50,000",,
78,Infinix Buds Neo XE-27,Infinix,0 Reviews,IN STOCK,,,"buds-4.5 hours, with case-28 hours",,,,,,,,,,,"KSh 2,700","KSh 2,500",
79,Infinix Hot 40 Pro,Infinix,0 Reviews,IN STOCK,8GB,,"5,000 mAh, 18W Fast charging",,,"6.78 inches, IPS LCD, 120Hz",,"Octa-core, Unisoc T606 (12 nm)","4G, Dual SIM","Starlit Black, Palm Blue, Horizon Gold, Starfall Green","Android 13, XOS 13.5",,,"KSh 22,000","KSh 20,500",
80,Infinix Note 40 4G,Infinix,0 Reviews,IN STOCK,8GB,,"5,000mAh, 45W",,,6.78 inches,,,,"Titan Gold, Obsidian Black","Android 14, XOS 14",,,"KSh 28,000","KSh 26,000",
81,Infinix Note 40 Pro+ 5G,Infinix,0 Reviews,IN STOCK,12GB,,"4,600mAh",,,"6.78-inch, AMOLED",,,"5G, Dual SIM",,"Android 14, XOS 14",,,"KSh 48,500","KSh 46,500",
82,Infinix Hot 40 4G,Infinix,0 Reviews,,8GB,,"5,000 mAh, 33W wired, 20-75% in 35 min Fast charging",,,"6.78 inches, IPS LCD, 90Hz",,"Octa-core, Mediatek MT6769H Helio G88 (12nm)","4G, Dual SIM","Palm Blue, Horizon Gold, Starlit Black, Starfall Green","Android 13, XOS 13.5",,,"KSh 26,500","KSh 23,500",
83,Infinix Note 30 Pro,Infinix,,IN STOCK,8GB,256GB,"5000 mAh, 33W wired",108 MP + 2 MP + QVGA,32 MP,"6.67 inches, AMOLED, 120Hz",,Mediatek Helio G99,"Dual sim, 3G, 4G, Wi-Fi","Magic Black, Interstellar Blue, Sunset Gold",Android 13,,,"KSh 45,000","KSh 23,000",
84,Google Pixel 9 Pro XL,Google,0 Reviews,IN STOCK,12GB,"128GB, 256GB, 512GB","5,060 mAh",50MP + 48MP+ 48MP,42 MP,"6.8-inch, OLED",,Google Tensor G4 (5 nm),"3G, 4G, 5G, Wi-Fi","Porcelain, Rose Quartz, Hazel, Obsidian",Android 14,,,"KSh 152,000","KSh 148,000",N/A
