timestamp,productName,Brand,jumia_price,jumia_oldPrice,jumia_discount,jumia_rating,jumia_verifiedRatings,jumia_stock,Key_Features
2024-10-03T20:35:38.695Z,Tecno POP 8,Tecno,"KSh 12,080","KSh 13,000",7%,4.2 out of 5,(39 verified ratings),"{'inStock': True, 'stockStatus': '47 items left', 'unitsLeft': 47}","{'Display:\xa06.6"" 90Hz Hole Screen': True, 'Memory: 128ROM ROM + 4GB RAM + (4GB RAM Extended)': True, 'Processor:\xa0Octa-core': True, 'Dimension:\xa0163.86x75.51x8.9mm': True, 'Network:\xa02G/3G/4G': True, 'Resolution:\xa0720*1612': True, 'Sensor:\xa0The ambient light and distance sensor, G-Sensor, Side-edge fingerprint': True, 'Camera: 8MP Front Camera with Dual Flash, 13MP AI Rear Camera with Dual Flash': True, 'Connectivity:\xa0GPS, Wifi, BT, FM, OTG': True, 'Battery Capacity:\xa0Non Removable 5000mAh': True}"
2024-10-03T20:35:38.695Z,Tecno Spark 20,Tecno,"KSh 12,660","KSh 15,000",16%,4.4 out of 5,(102 verified ratings),"{'inStock': True, 'stockStatus': 'In stock', 'unitsLeft': None}","{'50MP Ultra Clear Rear Camera': True, '32MP Glowing Selfie with Dual Flash': True, 'Iconic Design': True, '5000mAh Super Battery+18W Fast Charge': True, '128GB ROM , 4GB RAM(4GB Extended RAM)': True, '6.6"" HD+ with 90Hz Refresh Rate': True, 'Helio G85 Super Boost Processor': True, 'Dual Stereo Speakers': True}"
2024-10-03T20:35:38.695Z,Tecno POP 8,Tecno,"KSh 12,080","KSh 14,000",14%,4.1 out of 5,(26 verified ratings),"{'inStock': True, 'stockStatus': 'In stock', 'unitsLeft': None}","{'Display:\xa06.6"" 90Hz Hole Screen': True, 'Memory: 128GB ROM + 4GB RAM (Extended to 8GB)': True, 'Processor:\xa0Octa-core': True, 'Dimension:\xa0163.86x75.51x8.9mm': True, 'Network:\xa02G/3G/4G': True, 'Resolution:\xa0720*1612': True, 'Sensor:\xa0The ambient light and distance sensor, G-Sensor, Side-edge fingerprint': True, 'Camera: 8MP Front Camera with Dual Flash, 13MP AI Rear Camera with Dual Flash': True, 'Connectivity:\xa0GPS, Wifi, BT, FM, OTG': True, 'Battery Capacity:\xa0Non Removable 5000mAh': True}"
2024-10-03T20:35:38.695Z,Tecno POP 8,Tecno,"KSh 12,499",N/A,N/A,4.7 out of 5,(26 verified ratings),"{'inStock': True, 'stockStatus': '2 units left', 'unitsLeft': 2}","{'Display:\xa06.6"" 90Hz Hole Screen': True, 'Memory: 3GB RAM + 64GB': True, 'Processor:\xa0Octa-core': True, 'Dimension:\xa0163.86x75.51x8.9mm': True, 'Network:\xa02G/3G/4G': True, 'Resolution:\xa0720*1612': True, 'Sensor:\xa0The ambient light and distance sensor, G-Sensor, Side-edge fingerprint': True, 'Camera: 8MP Front Camera with Dual Flash, 13MP AI Rear Camera with Dual Flash': True, 'Connectivity:\xa0GPS, Wifi, BT, FM, OTG': True, 'Battery Capacity:\xa0Non Removable 5000mAh': True}"
2024-10-03T20:35:38.695Z,"Tecno Pova 6 Neo 6.78""FHD+",Tecno,"KSh 21,499","KSh 24,999",14%,4.8 out of 5,(4 verified ratings),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'6.78"" FHD+ Dot-in Display with 120Hz refresh rate': True, 'Dual SIM slots': True, 'IP54 certified; dust and splash resistant': True, '2G/3G/4G': True, 'Runs on Android 14 with HioS 14': True, 'Chipset: MediaTek Helio G99 Ultimate': True, 'CPU: 2.2 GHz octa core processor': True, '8GB RAM with 256GB .': True, 'Front camera: 8MP': True, 'Back cameras: 50MP + 2MP': True, '7000mAh, 33W wired charging': True}"
2024-10-03T20:35:38.695Z,Tecno Camon 30,Tecno,"KSh 34,999",N/A,N/A,4.3 out of 5,(6 verified ratings),"{'inStock': True, 'stockStatus': '1 units left', 'unitsLeft': 1}","{'Operating System: Android 14': True, 'Processor: Helio G99 Ultimate Octa-Core': True, '6.78"" FHD+AMOLED 120Hz': True, 'Front: 50MP AF, Front Dual Colour Temperature Flash': True, 'Rear: 50MP + 2MP + Light Sensor, Dual Flash.': True, '256GB ROM': True, '8GB RAM +(8GB Extended)': True, 'Infrared Remote Control': True, '5000mAh Battery Capacity': True, '45W Ultra Charge - Type-C': True}"
2024-10-03T20:35:38.695Z,Tecno Camon 30,Tecno,"KSh 29,060","KSh 32,500",11%,1 out of 5,(1 verified rating),"{'inStock': True, 'stockStatus': '24 items left', 'unitsLeft': 24}","{'Iceland Basaltic Dark': True, 'Android 14': True}"
2024-10-03T20:35:38.695Z,Tecno Spark 20 Pro,Tecno,"KSh 22,400","KSh 25,000",10%,5 out of 5,(1 verified rating),"{'inStock': True, 'stockStatus': '3 units left', 'unitsLeft': 3}","{'Display: 6.78"" FHD+ 120Hz Refresh Rate': True, 'Storage: 256GB ROM + 8GB RAM + (8GB RAM Extended)': True, 'Main Camera: 108MP + 0,08MP': True, 'Selfie Camera: 32MP': True, 'OS: Android 13': True, 'Processor: Octa-core Mediatek Helio G99 (6nm)': True, 'Resolution: 1080 x 2460 pixels (~396 ppi density)': True, 'Battery: 5,000 mAh(typ) 33W': True}"
2024-10-03T20:35:38.695Z,Tecno CAMON 30,Tecno,"KSh 29,999","KSh 31,999",6%,4.4 out of 5,(7 verified ratings),"{'inStock': True, 'stockStatus': '2 units left', 'unitsLeft': 2}","{'Operating System: Android 14': True, 'Processor: Helio G99 Ultimate Octa-Core': True, '6.78"" FHD+AMOLED 120Hz': True, 'Front: 50MP AF, Front Dual Colour Temperature Flash': True, 'Rear: 50MP + 2MP + Light Sensor, Dual Flash': True, '256GB ROM': True, '8GB RAM +(8GB Extended)': True, 'Infrared Remote Control': True, '5000mAh Battery Capacity': True}"
2024-10-03T20:35:38.695Z,Tecno Phantom X2 PRO,Tecno,"KSh 74,499","KSh 75,999",2%,5 out of 5,(1 verified rating),"{'inStock': True, 'stockStatus': '7 units left', 'unitsLeft': 7}","{'Type:\xa0AMOLED, 120Hz': True, 'Display Size:\xa06.8 inches': True, 'OS:\xa0Android 12, HIOS 12': True, 'Memory:\xa0Internal storage\xa0256GB, 12GB RAM': True, '50MP + 50MP + 13MP Wide Angle': True, '32MP Clear Selfie': True, 'Li-Po 5160 mAh, non-removable': True}"
2024-10-03T20:35:38.695Z,Tecno Spark 30c,Tecno,"KSh 13,999","KSh 14,999",7%,0 out of 5,(No ratings available),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'Operating System: Android 14': True, 'Processor: G81': True, 'Network: 2G, 3G, 4G': True, ""Display: 120Hz 6.67'' Hole Screen"": True, 'Resolution: 720*1600': True, 'Front Camera : 8MP, Front Dual Flash': True, 'RearCamera: 50MP, Rear Dual Flash': True, '128GB ROM+4GB RAM(+4GB Extended)': True, 'Battery: 5000mAh 18W Fast Charge Type-C': True, 'Infrared Remote Control Support': True}"
2024-10-03T20:35:38.695Z,Tecno CAMON 20 PRO,Tecno,"KSh 28,299","KSh 29,999",6%,4.3 out of 5,(15 verified ratings),"{'inStock': True, 'stockStatus': '1 units left', 'unitsLeft': 1}","{'120Hz AMOLED with Fingerprint on Display (6.67"")': True, 'G99 Octa-Core Processor': True, '256GB ROM+8GB RAM ( can be extended to 16GB)': True, 'Front Camera: 32MP': True, 'Rear Camera:\xa064MP /2MP (Bokeh) /AI CAM/ Quad Flash(Ring-Flash)': True, '5000mAh Super Battery 33W Fast Charge': True, 'Android13 +': True, 'Resolution-1080*2400': True}"
2024-10-03T20:35:38.695Z,"Tecno POP 9 120Hz 6.67"" 64GB ROM+3GB RAM*(+3GB RAM Extended)4G Network",Tecno,"KSh 10,999","KSh 12,999",15%,0 out of 5,(No ratings available),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'Processor: Octa-core': True, 'Memory:64GB ROM+3GB RAM*(+3GB RAM Extended)': True, 'Network: 2G/3G/4G': True, 'Display: 6.67"" 90Hz Hole Screen': True, 'Resolution: 720*1612': True, 'Sensor: The ambient light and distance sensor, G-Sensor, Side-edge fingerprint': True, 'Camera: 8MP Front Camera with Dual Flash': True, '13MP AI Rear Camera with Dual Flash': True, 'Connectivity: GPS, Wifi, BT, FM, OTG': True, 'Battery Capacity: Non Removable 5000Mah, 10W charge with Type-C': True}"
2024-10-03T20:35:38.695Z,Tecno Watch 2 Pro,Tecno,"KSh 4,999","KSh 8,000",38%,4.5 out of 5,(2 verified ratings),"{'inStock': True, 'stockStatus': '2 units left', 'unitsLeft': 2}","{'Display Screen：AMOLED': True, 'Screen Resoluton：466*466': True, 'Screen Size：1.43 inches': True, 'Material：Metal + Silica gel': True, 'Weight：56g': True, 'Heart Rate Sensor：VC30F': True, 'Bluetooth Version: BT5.3': True, 'Battery Capacity：350mAh': True, 'Charging Method: Magnetic Suction Charging': True, 'Waterproof Grade : IP68': True, 'Standby Time: 12 Days': True, 'Bluetooth Transmission Distance: 10m': True, 'Smart Phone System: Android 8.0/IOS 11.0 or bove support Bluetooth 4.0 BLE System': True}"
2024-10-03T20:35:38.695Z,Tecno TWS Buds 3 Noise Cancellation,Tecno,"KSh 1,999","KSh 3,000",33%,5 out of 5,(4 verified ratings),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'Music Playing Time：7hours\xa0\xa0\xa0 (Earphone)；37hours\xa0 (Earphone+Charging Box)': True, 'Earphone Charging Time：1.5hours': True, 'Charging Box Charging Time：2hours': True, 'Product Dimension：63.0*50.5*26.0 mm': True, 'Charging Port：\xa0 Type-C': True, 'Charging Box Battery： 500mAh': True, 'Speaker Dimension：10mm': True, 'Bluetooth Version:\xa0 5.3': True, 'Transmission Distance: ≥10m': True, 'Waterproof Rate:\xa0 IPX5': True, 'Earphone Form：In-ear': True}"
2024-10-03T20:35:38.695Z,Tecno Spark 30c,Tecno,"KSh 13,999","KSh 14,999",7%,0 out of 5,(No ratings available),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'Operating System: Android 14': True, 'Processor: G81': True, 'Network: 2G, 3G, 4G': True, ""Display: 120Hz 6.67'' Hole Screen"": True, 'Resolution: 720*1600': True, 'Front Camera : 8MP, Front Dual Flash': True, 'RearCamera: 50MP, Rear Dual Flash': True, '128GB ROM+4GB RAM(+4GB Extended)': True, 'Battery: 5000mAh 18W Fast Charge Type-C': True, 'Infrared Remote Control Support': True}"
2024-10-03T20:35:38.695Z,Tecno CAMON 30 Pro 5G,Tecno,"KSh 58,999","KSh 59,999",2%,0 out of 5,(No ratings available),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'Type\xa0\xa0 \xa0AMOLED, 120Hz': True, 'Size\xa0\xa0 \xa06.78 inches, 109.9 cm2 (~88.3% screen-to-body ratio)': True, 'SIM\xa0\xa0 \xa0Dual SIM (Nano-SIM, dual stand-by)': True, '5G bands\xa0\xa0 \xa0SA/NSA': True, 'OS\xa0\xa0 \xa0Android 14, HIOS 14': True, 'Chipset\xa0\xa0 \xa0Mediatek Dimensity 8200 Ultimate': True, 'Memory: Internal\xa0\xa0 512GB 12GB': True, 'MAIN CAMERA:\xa0Dual\xa0\xa0 \xa050 MP, f/1.9, (wide), 1/1.57"", PDAF, OIS,\xa02 MP, (depth)': True, 'SELFIE CAMERA:\xa0Single\xa0\xa0 \xa050 MP, (wide), AF': True, 'Type\xa0\xa0 \xa05000 mAh, non-removable': True}"
2024-10-03T20:35:38.695Z,Tecno 2 Way High Speed 20000mAh Multi protection Power Bank_ Black,Tecno,"KSh 2,199","KSh 3,000",27%,4 out of 5,(1 verified rating),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'Capacity : 20000mAh': True, 'USB\xa0 port : 5V/2.1A Output': True, 'Total output：10.5W': True, 'Micro-USB Port : 5V/2A Input': True, 'Type-C Port : 5V/2A Input': True, 'Accessories : data cable ( 20cm USB\xa0 to micro & type-C )': True}"
2024-10-03T20:35:38.695Z,Tecno CAMON 30 Premier,Tecno,"KSh 72,999","KSh 74,999",3%,0 out of 5,(No ratings available),"{'inStock': True, 'stockStatus': '5 units left', 'unitsLeft': 5}","{'Type\xa0\xa0 \xa0LTPO AMOLED, 120Hz': True, 'Size\xa0\xa0 \xa06.77 inches, 111.4 cm2 (~89.9% screen-to-body ratio)': True, 'SIM\xa0\xa0 \xa0Dual SIM (Nano-SIM, dual stand-by)': True, '5G bands\xa0\xa0 \xa0SA/NSA': True, 'OS\xa0\xa0 \xa0Android 14, HIOS 14': True, 'Chipset\xa0\xa0 \xa0Mediatek Dimensity 8200 Ultimate': True, 'Memory: Internal\xa0\xa0 512GB 12GB': True, 'MAIN CAMERA:\xa0Triple\xa0\xa0 \xa050 MP, (wide), 1/1.56"", PDAF, OIS, 50 MP, (periscope telephoto), PDAF, 3x optical zoom, 50 MP, (ultrawide), PDAF': True, 'SELFIE CAMERA:\xa0Single\xa0\xa0 \xa050 MP, (wide), AF': True, 'Type\xa0\xa0 \xa05000 mAh, non-removable': True}"
2024-10-03T20:35:38.695Z,Tecno CAMON 30 5G,Tecno,"KSh 48,999","KSh 49,999",2%,0 out of 5,(No ratings available),"{'inStock': False, 'stockStatus': 'Status unknown', 'unitsLeft': None}","{'Type\xa0\xa0 \xa0AMOLED, 120Hz': True, 'Size\xa0\xa0 \xa06.78 inches, 109.9 cm2 (~88.3% screen-to-body ratio)': True, 'SIM\xa0\xa0 \xa0Dual SIM (Nano-SIM, dual stand-by)': True, '5G bands\xa0\xa0 \xa0SA/NSA': True, 'OS\xa0\xa0 \xa0Android 14, HIOS 14': True, 'Chipset\xa0\xa0 \xa0Mediatek Dimensity 7020 (6 nm)': True, 'Memory: Internal\xa0\xa0 512GB 8GB': True, 'MAIN CAMERA:\xa0Dual\xa0\xa0 \xa050 MP, f/1.9, (wide), 1/1.57"", PDAF, OIS,\xa02 MP, (depth)': True, 'SELFIE CAMERA:\xa0Single\xa0\xa0 \xa050 MP, (wide), AF': True, 'Type\xa0\xa0 \xa05000 mAh, non-removable': True}"
