Scrape Date,Scrape Time,Product Name,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,SKU,Brands,Cover Camera,Operating System,Internal Memory,Chipset,Main Camera,Selfie Camera,Bluetooth,Colorways,Tags,This item,Rear Camera,Inner Camera,Outer Camera,Storage,Camera,Selfie,NB,Front Camera,Length,Type,Current,Color,Material,Weight,Size,g>y,Primary Camera,Rear camera,Selfie camera,Operating system,Colour,Colours,Network,Display Size,Resolution,Secondary Camera,Ports,Screen,Refresh Rate,Fingerprint,Price 1,Price 2
2024-09-28,21:41:58,Nokia C21 Plus,0 Reviews,,2GB,,"4,000mAh",,,6.52 inch,,Unisoc SC9863A,"Dual sim, 4G, Wi-Fi","Dark Cyan, Warm Gray",Android 11 (Go edition),,,,,,,,,,,,,,,,,,64GB,13MP + 2MP,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 15,000","KSh 13,200"
2024-09-28,21:45:41,Oppo A58 4G,0 Reviews,IN STOCK,8GB,,"5,000 mAh with 33W Fast Charging",,,"6.72 inch, IPS LCD, 90Hz",,"Octa-core, Mediatek MT6769 Helio G85 (12nm)","Dual sim, 4G, Wi-Fi",,"Android 13, ColorOS 13.1",,,,,,,,,50MP + 2MP,8MP,,,,,,,,128GB,,,,,,,,,,,,,,,,,,"Glowing Black, Dazzling Green",,,,,,,,,"KSh 27,000",
2024-09-28,21:45:51,Oppo A98 5G,0 Reviews,IN STOCK,8GB,,"5,000 mAh",,,"6.43 inch, IPS LCD, 120Hz",,Qualcomm Snapdragon 695 5G,"Dual sim, 4G, 5G, Wi-Fi","Cool Black, Dreamy Blue, Bold Gold","Android 13, ColorOS 13.1",,,,,,,,,,,,,,,,,,256GB,64MP + 2MP+ 2MP,32MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 45,500","KSh 39,500"
2024-09-28,21:46:00,Oppo A78 4G,0 Reviews,IN STOCK,8GB,,"5,000 mAh, 67W",,,,,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Dual sim, 4G, Wi-Fi","Mist Black, Aqua Green","Android 13, ColorOS 13.1",,,,,,,,,,,,,,,,,,256GB,50MP + 2MP,8MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 35,000","KSh 32,500"
2024-09-28,21:46:10,Oppo A38,0 Reviews,IN STOCK,4/6GB,,5000 mAh,,,"6.56 inch, IPS LCD, 90Hz",,Mediatek Helio G85,"Dual sim, 4G, 5G, Wi-Fi","Glowing Black, Glowing Gold","Android 13, ColorOS 13.1",No Local Warranty,UAE / Dubai,N/A,,,,,,,,,,,,,,,128GB,50MP + 2MP,5MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 19,500","KSh 18,500"
2024-09-28,21:46:20,Oppo Reno 10 5G,0 Reviews,IN STOCK,8GB,,"5000 mAh, 67W",,,"6.7 inch, AMOLED,120Hz",,Mediatek  Dimensity 7050,"Dual sim, 3G, 4G, 5G","Silvery Grey, Ice Blue","Android 13, ColorOS 13",,,,,,,,,,,,,,,,,,"128GB, 256GB",64MP + 32MP + 8MP,32MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 58,000","KSh 55,000"
2024-09-28,21:46:32,Oppo Reno 10 Pro 5G,0 Reviews,IN STOCK,12GB,,"4,600 mAh, 80W",,,"6.74 inch, AMOLED, 120Hz",,Qualcomm Snapdragon 778G 5G,"Dual SIM, 2G, 3G, 4G, 5G","Silvery Grey, Glossy Purple","Android 13, ColorOS 13",,,,,,,,,,,,,,,,,,256GB,50MP + 32MP + 8MP,32MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 68,000","KSh 65,000"
2024-09-28,21:46:41,Oppo A58,0 Reviews,IN STOCK,"6GB, 8GB",,"5000 mAh, 33W",,,"6.72 inch, IPS LCD, 90Hz",,MediaTek Helio G85,"Dual sim, 4G, Wi-Fi","Glowing Black, Dazzling Green","Android 13, ColorOS 13.1",,,N/A,,,,,,50MP + 2MP,,,,,,,,,128GB,,8MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 28,000","KSh 27,000"
2024-09-28,21:53:01,Realme Note 50,0 Reviews,IN STOCK,"3GB, 4GB",,"5,000 mAh",,,"6.74 inches, IPS LCD, 90Hz",,Unisoc Tiger T612 (12 nm),"Dual SIM, 4G, Wi-Fi","Sky Blue, Midnight Black","Android 13, Realme UI T",,,N/A,,,,,,,,,,,,,,,"64GB, 128GB, 256GB",13 MP + 0.03 MP,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 15,500","KSh 13,500"
2024-09-28,21:53:14,Realme C67 4G,0 Reviews,IN STOCK,"8GB, 256GB",,"5,000 mAh, non-removable",,,"6.72 inches, IPS LCD",,,4G,,,,,,,,,128GB,Qualcomm Snapdragon 685,108MP + 2MP,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 28,000","KSh 26,000"
